time,ch1
1,0.6249120475200596
2,0.6249095626230999
3,0.6249057640812617
4,0.6249010900160644
5,0.624933907020041
6,0.6250174736602324
7,0.6249768800624518
8,0.6249553761650788
9,0.6249522860966119
10,0.6249419120550723
11,0.6249364738843021
12,0.6249382952446836
13,0.6249336420186886
14,0.6249237816945059
15,0.6249356614519959
16,0.6249299481752356
17,0.6249223845149698
18,0.6249318739777023
19,0.624924376910984
20,0.6249267562947477
21,0.6249132999583191
22,0.6249208545694347
23,0.6249197922870001
24,0.6249135426638316
25,0.6249200899999419
26,0.6249174360725156
27,0.6249229740106108
28,0.6249104075997536
29,0.6249383164597055
30,0.6249156907774234
31,0.624918652205449
32,0.624904138574156
33,0.624913783591824
34,0.624927514364277
35,0.6249176695116534
36,0.6249097987371589
37,0.6249163187410469
38,0.6249079010661186
39,0.6249077572350252
40,0.6249135484024484
41,0.6249091172626041
42,0.6249205171087451
43,0.6249133214201484
44,0.6249109341402562
45,0.6249147226727801
46,0.6249100234143973
47,0.6249256233695856
48,0.6249169217781517
49,0.6249067599608831
50,0.6249070411344052
51,0.6249201024058086
52,0.6249110388454541
53,0.6249108687273556
54,0.6249143763204108
55,0.6249176237736999
56,0.624907693365075
57,0.6249080368390793
58,0.6249165034461065
59,0.6249102913352489
60,0.6249154835742275
61,0.6249087844831759
62,0.6249090722248191
63,0.624915564975573
64,0.6249073575131981
65,0.6249026683390769
66,0.624909450076744
67,0.6249019965566832
68,0.6249096705068133
69,0.6249053013308096
70,0.6249106686038941
71,0.624902620628372
72,0.6249059683945719
73,0.6249019227749391
74,0.6249054167151301
75,0.6248986140090684
76,0.6248986826330222
77,0.6248956240605732
78,0.624899912271696
79,0.6249016199201493
80,0.6249004836507237
81,0.6249029316661722
82,0.6249018981274814
83,0.6249034242948583
84,0.6249058332101691
85,0.6249096376622235
86,0.6249166046140296
87,0.62490852051979
88,0.6249043166379824
89,0.6248990571491382
90,0.6249097946227262
91,0.6249059313535673
92,0.6249081365749235
93,0.6249056711682875
94,0.6249019387292873
95,0.6248987136795304
96,0.6248963003674629
97,0.6249041248380256
98,0.6248905982381527
99,0.6248955409399495
100,0.6249012314900694
101,0.6249114293778518
102,0.6249036508169292
103,0.6248979694951797
104,0.6249043320881567
105,0.6248944879545003
106,0.624895960120047
107,0.624893445821509
108,0.624902237244372
109,0.6248950783090252
110,0.6252338580537419
111,0.6254203187576335
112,0.6254434950495905
113,0.6254853782316843
114,0.6255105042266222
115,0.6255495389455572
116,0.6255626121902973
117,0.6255888736470806
118,0.625621951152022
119,0.6256311073063026
120,0.6256575195858711
121,0.6256687605282929
122,0.6256900421973655
123,0.62569963663238
124,0.6257215802802694
125,0.6257371520232806
126,0.6257523386648874
127,0.6257732816113699
128,0.6257921862993919
129,0.6258320112030085
130,0.625621027106099
131,0.6255953043050753
132,0.6255900237633443
133,0.6255870481825166
134,0.6255578630412713
135,0.6255416861544003
136,0.6255313094948155
137,0.6255219070723678
138,0.6255276991717057
139,0.6255222975003311
140,0.6255158093333627
141,0.6255009454873887
142,0.6255048983713076
143,0.6255066857276395
144,0.6255048651718751
145,0.6255123740096397
146,0.6254918782955159
147,0.6254962279441179
148,0.625503385151725
149,0.6254972635097216
150,0.6254967625644652
151,0.6254953832022867
152,0.6253675858008242
153,0.6248968104786247
154,0.6248887083764071
155,0.6248597543585167
156,0.624833940206115
157,0.6248136290646401
158,0.6248186710910745
159,0.6248098053379011
160,0.6248083927241954
161,0.6248053022637381
162,0.624794294322683
163,0.6248030476563119
164,0.6247963456877642
165,0.6248013119824931
166,0.6247922746776009
167,0.6247971116553288
168,0.6247908230038819
169,0.6247809596793542
170,0.6247856109196401
171,0.6247868618896794
172,0.6247930844531242
173,0.6247768491177416
174,0.624785307025163
175,0.6247762495983356
176,0.6248338821053334
177,0.6250047265984263
178,0.6249937291304303
179,0.6249672906195476
180,0.6249454384362123
181,0.6249370071332254
182,0.6249352444134172
183,0.6249386595945122
184,0.6249314772335955
